Input1	Output
-0.226837061	-0.758456752
-0.331203408	-0.784694652
-0.5314164	-0.84642121
-0.431309904	-0.813324633
-0.407880724	-0.806270131
-0.512247071	-0.839671633
-0.437699681	-0.815289935
-0.599574015	-0.872321951
-0.50372737	-0.836739306
-0.548455804	0.162143979
-0.599574015	0.10222556
-0.556975506	0.152533832
-0.537806177	0.173960039
-0.569755059	0.137846503
-0.486687966	0.227864441
-0.446219382	0.267578134
-0.559105431	0.150108903
-0.446219382	-0.277097518
-0.248136315	-0.167519254
-0.224707135	-0.156228824
-0.582534611	-0.372954067
-0.329073482	-0.208976134
-0.416400426	-0.258705875
-0.473908413	-0.294911241
-0.356762513	0.347606974
-0.562300319	0.146454443
-0.512247071	0.201471169
-0.450479233	0.263510173
-0.522896699	0.190149462
-0.493077742	0.221365947
-0.567625133	0.140317584
-0.605963791	0.09433128
-0.326943557	0.372236079
-0.405750799	0.305005145
-0.439829606	0.273632749
-0.678381257	-0.002577106
-0.605963791	0.09433128
-0.288604899	0.402591885
-0.657082002	0.027459221
-0.380191693	0.327579781
-0.563365282	0.145231703
-0.563365282	0.145231703
-0.574014909	0.132875939
-0.488817891	0.225705489
-0.640042599	0.050524715
-0.539936102	0.171613965
-0.5314164	0.180947835
-0.431309904	0.281618861
-0.533546326	0.178626913
-0.663471778	0.018593582
-0.510117146	-0.31938102
-0.512247071	-0.320864823
-0.390841321	-0.243545371
-0.427050053	-0.265184238
-0.52715655	-0.331397687
-0.599574015	-0.386595593
-0.288604899	-0.187747941
-0.371671991	-0.232516238
-0.5314164	-0.334455202
-0.610223642	-0.395347422
-0.384451544	-0.23983743
-0.361022364	-0.226509162
-0.41001065	-0.254865268
-0.441959531	-0.274421402
-0.267305644	-0.176982686
-0.405750799	-0.252323819
-0.505857295	-0.316428725
-0.444089457	-0.275757374
-0.197018104	-0.143256977
-0.401490948	-0.249797324
-0.301384452	-0.194338968
-0.450479233	-0.279790425
-0.597444089	-0.38486647
-0.542066028	-0.342195734
-0.312034079	-0.199909791
-0.141640043	-0.118431367
-0.418530351	-0.25999375
-0.41001065	-0.254865268
-0.382321619	0.32572819
-0.561235357	0.147674883
-0.488817891	0.225705489
-0.550585729	0.159754744
-0.469648562	0.244882632
-0.375931842	0.33126723
-0.324813632	0.373960154
-0.552715655	0.157356686
-0.623003195	0.072797784
-0.36315229	0.342205846
-0.478168264	0.236429235
-0.422790202	0.28950809
-0.618743344	0.078248546
-0.429179979	0.283600158
-0.241746539	-0.164410519
-0.239616613	-0.16337925
-0.145899894	-0.120290971
-0.38658147	-0.241069856
-0.284345048	-0.185573208
-0.286474973	-0.186659198
-0.235356763	-0.161324106
-0.510117146	-0.31938102
-0.620873269	-0.404281711
-0.113951012	-0.106536053
-0.420660277	-0.261285501
-0.514376997	-0.322353775
-0.371671991	-0.232516238
-0.463258786	-0.287972031
-0.654952077	-0.434191679
-0.329073482	-0.208976134
-0.329073482	-0.208976134
-0.505857295	-0.316428725
-0.412140575	-0.256141657
-0.550585729	-0.348490351
-0.395101171	-0.246035239
-0.412140575	-0.256141657
-0.350372737	-0.220584944
0.567625133	0.859833711
0.337593184	0.764898406
0.19914803	0.700326362
0.708200213	0.911730583
0.399361022	0.79177197
0.465388711	0.81932896
0.62513312	0.881563215
0.36315229	0.776152638
0.214057508	0.707594592
-0.520766773	0.192429645
0.205537806	0.011168763
-0.03514377	-0.074376476
-0.043663472	-0.077739547
-0.037273695	-0.075214783
-0.207667732	-0.14819994
0.233226837	0.020003257
-0.446219382	-0.277097518
-0.29286475	-0.189933736
-0.584664537	-0.374635705
-0.595314164	-0.383144295
0.299254526	0.040366788
0.103301384	0.651567322
0.288604899	0.742771294
0.088391906	0.643644648
0.007454739	0.598874309
0.618743344	0.879184104
0.416400426	0.798995243
0.458998935	0.816712273
0.43343983	0.806139687
0.267305644	0.73291236
-0.007454739	0.590281612
0.028753994	0.610956706
0.499467519	0.833110738
0.214057508	0.707594592
0.250266241	0.724916806
0.207667732	0.704489524
-0.211927583	0.459363342
0.107561235	0.65381341
0.275825346	0.736873782
0.444089457	0.810565697
0.039403621	0.6169151
-0.005324814	0.591516085
-0.209797657	0.46087184
0.037273695	0.615727762
0.079872204	0.639073896
0.348242812	0.769611212
0.162939297	0.68233108
-0.141640043	0.507388334
