Input1	Input3	Output
-0.546325879	0.044363956	-0.851823282
-0.563365282	0.440405334	-0.858170141
-0.45686901	-0.012006773	-0.821297307
-0.307774228	0.284565775	-0.77851631
-0.337593184	-0.296104115	-0.786411289
-0.356762513	-0.266968724	-0.79164597
-0.595314164	0.287624478	-0.870607247
-0.454739084	-0.29351699	-0.820621373
-0.823216187	0.348924489	-0.990091875
-0.431309904	0.443770822	-0.813324633
-0.397231097	-0.267686058	-0.803139346
-0.499467519	0.871394823	-0.835288182
-0.774227902	-0.614496256	-0.559219818
-0.582534611	-0.743749226	-0.372954067
-0.667731629	0.018640618	-0.445969193
-0.872204473	-0.46603034	-0.699081189
-0.808306709	-0.052764566	-0.602862528
-0.727369542	-0.065626681	-0.505668709
-0.763578275	-0.848262185	-0.54644709
-0.833865815	-0.791775969	-0.638792832
-0.855165069	-0.971163232	-0.671230896
-0.855165069	-0.792601619	-0.671230896
-0.90628328	-0.740621475	-0.760908986
-0.867944622	-0.759557059	-0.691946446
-0.650692226	-0.810601763	-0.430336723
-0.752928647	-1	-0.534044759
-0.778487753	-0.747988972	-0.564437673
-0.697550586	-0.834496299	-0.474779161
-0.872204473	-0.909357408	-0.699081189
-0.226837061	0.23216523	-0.758456752
-0.331203408	-0.591436409	-0.784694652
-0.5314164	-0.37670602	-0.84642121
-0.431309904	-0.309258064	-0.813324633
-0.407880724	-0.176887533	-0.806270131
-0.512247071	-0.401428293	-0.839671633
-0.437699681	0.011620938	-0.815289935
-0.599574015	-0.02219045	-0.872321951
-0.50372737	0.08787511	-0.836739306
-0.548455804	-0.547889252	0.162143979
-0.599574015	-0.834797829	0.10222556
-0.556975506	-0.237267078	0.152533832
-0.537806177	-0.62801432	0.173960039
-0.569755059	-0.491479763	0.137846503
-0.486687966	-0.665698914	0.227864441
-0.446219382	-0.62360437	0.267578134
-0.559105431	-0.488124659	0.150108903
-0.446219382	-0.444574184	-0.277097518
-0.248136315	0.049155531	-0.167519254
-0.224707135	-0.276636659	-0.156228824
-0.582534611	-0.46535404	-0.372954067
-0.329073482	0.338429975	-0.208976134
-0.416400426	-0.400488334	-0.258705875
-0.473908413	-0.548751126	-0.294911241
-0.356762513	-0.584352807	0.347606974
-0.562300319	-0.467018159	0.146454443
-0.512247071	-0.601964265	0.201471169
-0.450479233	-0.714385358	0.263510173
-0.522896699	-0.903781697	0.190149462
-0.493077742	-0.848419998	0.221365947
-0.567625133	-0.724562625	0.140317584
-0.605963791	-0.820289013	0.09433128
-0.326943557	-0.679070893	0.372236079
-0.405750799	-0.503801101	0.305005145
-0.439829606	-0.82290686	0.273632749
-0.678381257	-0.731637419	-0.002577106
-0.605963791	-0.61953516	0.09433128
-0.288604899	-0.519336227	0.402591885
-0.657082002	-0.507195468	0.027459221
-0.380191693	-0.650836406	0.327579781
-0.563365282	-0.768005119	0.145231703
-0.563365282	-0.817733893	0.145231703
-0.574014909	-0.796100198	0.132875939
-0.488817891	-0.610159823	0.225705489
-0.640042599	-0.821660545	0.050524715
-0.539936102	-0.57904176	0.171613965
-0.5314164	-0.685803014	0.180947835
-0.431309904	-0.714982471	0.281618861
-0.533546326	-0.621472137	0.178626913
-0.663471778	-0.625106226	0.018593582
-0.510117146	-0.282369189	-0.31938102
-0.512247071	-0.137314174	-0.320864823
-0.390841321	-0.491397172	-0.243545371
-0.427050053	-0.506805892	-0.265184238
-0.52715655	-0.110424942	-0.331397687
-0.599574015	-0.667190278	-0.386595593
-0.288604899	-0.541023257	-0.187747941
-0.371671991	-0.524327582	-0.232516238
-0.5314164	-0.691323651	-0.334455202
-0.610223642	-0.344527166	-0.395347422
-0.384451544	0.073263015	-0.23983743
-0.361022364	-0.25480205	-0.226509162
-0.41001065	-0.389857418	-0.254865268
-0.441959531	-0.684011019	-0.274421402
-0.267305644	-0.563380165	-0.176982686
-0.405750799	0.270583562	-0.252323819
-0.505857295	-0.190033353	-0.316428725
-0.444089457	-0.209213369	-0.275757374
-0.197018104	-0.349655338	-0.143256977
-0.401490948	-0.102051539	-0.249797324
