Input2	Input3	Output
-0.427041668	-0.17807255	-0.797012817
-0.296541786	-0.210079145	-0.815289935
0.199858127	0.476148796	-0.7589611
-0.206790616	-0.037548717	-0.788721915
0.206814236	-0.53591095	-0.801899831
-0.03520613	-0.311613867	-0.89027656
-0.574206799	-0.565250097	-0.840411083
-0.604271942	-0.245792108	-0.893105672
0.237156593	-0.594779507	-0.556634572
-0.034058445	-0.8277662	-0.51726424
-0.043367093	-0.739194074	-0.496613323
0.315072871	-0.865375202	-0.548971301
0.547026616	-0.720766055	-0.354878746
0.289012717	-0.756450952	-0.451981672
0.24374283	-0.62478768	-0.404281711
0.247901329	-0.616433463	-0.456037406
-0.039878383	-0.776083444	-0.485557042
0.498208545	-0.781727627	-0.464265967
0.497460051	-0.871854973	-0.390074909
-0.106601907	-0.937888759	-0.503386836
-0.051892688	-0.911188965	-0.645086352
0.010297137	-0.896129895	-0.512588254
-0.204368978	-0.953839535	-0.602862528
-0.017920387	-0.872634855	-0.629523052
0.1246049	-0.943117086	-0.406091141
0.276786075	-0.658327664	-0.274421402
-0.0703953	-0.818719421	-0.510269284
0.742164248	-0.740205389	-0.442007261
0.541904892	-0.89369747	-0.538962624
-0.289995721	-0.15007933	-0.801899831
-0.15416804	-0.269731013	-0.785837535
-0.140537021	-0.544040529	-0.819947583
-0.547603535	1	-0.787563463
-0.145594606	-0.447352753	-0.871462868
-0.385483338	0.044363956	-0.851823282
-0.643784289	0.440405334	-0.858170141
-0.401402879	-0.012006773	-0.821297307
-0.09690405	0.284565775	-0.77851631
-0.459514487	-0.296104115	-0.786411289
-0.10372712	-0.266968724	-0.79164597
-0.303921448	0.287624478	-0.870607247
-0.069474598	-0.29351699	-0.820621373
-0.999999998	0.348924489	-0.990091875
-0.100475182	0.443770822	-0.813324633
0.008180068	-0.267686058	-0.803139346
-0.255443486	0.871394823	-0.835288182
0.449976559	-0.614496256	-0.559219818
-0.034993357	-0.743749226	-0.372954067
-0.061437332	0.018640618	-0.445969193
-0.212524732	-0.46603034	-0.699081189
-0.204368978	-0.052764566	-0.602862528
-0.027157872	-0.065626681	-0.505668709
0.112086263	-0.848262185	-0.54644709
0.124746954	-0.791775969	-0.638792832
-0.069490932	-0.971163232	-0.671230896
0.295686158	-0.792601619	-0.671230896
0.177525275	-0.740621475	-0.760908986
0.214189992	-0.759557059	-0.691946446
0.294356648	-0.810601763	-0.430336723
0.470905426	-1	-0.534044759
0.275036081	-0.747988972	-0.564437673
-0.230637643	-0.834496299	-0.474779161
-0.322109836	-0.909357408	-0.699081189
-0.032523707	0.23216523	-0.758456752
-0.053760867	-0.591436409	-0.784694652
-0.671382516	-0.37670602	-0.84642121
-0.261588089	-0.309258064	-0.813324633
-0.366694556	-0.176887533	-0.806270131
-0.169232101	-0.401428293	-0.839671633
-0.053699207	0.011620938	-0.815289935
0.022205981	-0.02219045	-0.872321951
-0.115169292	0.08787511	-0.836739306
0.419322531	-0.547889252	0.162143979
0.217554766	-0.834797829	0.10222556
0.35313644	-0.237267078	0.152533832
0.397854039	-0.62801432	0.173960039
0.355477465	-0.491479763	0.137846503
0.569456626	-0.665698914	0.227864441
0.24975467	-0.62360437	0.267578134
0.236177941	-0.488124659	0.150108903
0.157657979	-0.444574184	-0.277097518
0.108827481	0.049155531	-0.167519254
0.220087159	-0.276636659	-0.156228824
0.058334233	-0.46535404	-0.372954067
-0.043023024	0.338429975	-0.208976134
-0.180029461	-0.400488334	-0.258705875
-0.014281192	-0.548751126	-0.294911241
0.234197533	-0.584352807	0.347606974
0.414758259	-0.467018159	0.146454443
0.188614163	-0.601964265	0.201471169
0.513828281	-0.714385358	0.263510173
0.511027308	-0.903781697	0.190149462
-0.133316002	-0.848419998	0.221365947
0.270403825	-0.724562625	0.140317584
-0.208795319	-0.820289013	0.09433128
0.690798789	-0.679070893	0.372236079
0.408953691	-0.503801101	0.305005145
0.19733625	-0.82290686	0.273632749
0.247901329	-0.731637419	-0.002577106
0.266659149	-0.61953516	0.09433128
0.160996003	-0.519336227	0.402591885
0.235672928	-0.507195468	0.027459221
0.374018211	-0.650836406	0.327579781
0.734774611	-0.768005119	0.145231703
0.203842721	-0.817733893	0.145231703
0.123004672	-0.796100198	0.132875939
0.450981216	-0.610159823	0.225705489
0.392162849	-0.821660545	0.050524715
0.088627937	-0.57904176	0.171613965
0.24513689	-0.685803014	0.180947835
0.344364586	-0.714982471	0.281618861
0.430189259	-0.621472137	0.178626913
0.504667964	-0.625106226	0.018593582
0.109594501	-0.282369189	-0.31938102
-0.169232101	-0.137314174	-0.320864823
-0.122008529	-0.491397172	-0.243545371
0.095251302	-0.506805892	-0.265184238
-0.005900865	-0.110424942	-0.331397687
-0.071006646	-0.667190278	-0.386595593
0.160996003	-0.541023257	-0.187747941
0.239639826	-0.524327582	-0.232516238
-0.122657622	-0.691323651	-0.334455202
-0.060526634	-0.344527166	-0.395347422
0.079554004	0.073263015	-0.23983743
0.210406221	-0.25480205	-0.226509162
0.107571019	-0.389857418	-0.254865268
0.094063237	-0.684011019	-0.274421402
-0.213755499	-0.563380165	-0.176982686
-0.039402557	0.270583562	-0.252323819
-0.128684994	-0.190033353	-0.316428725
0.263270372	-0.209213369	-0.275757374
0.351575869	-0.349655338	-0.143256977
0.157192628	-0.102051539	-0.249797324
-0.065953649	-0.575285993	-0.194338968
0.131205799	-0.59043942	-0.279790425
-0.145594606	0.133002624	-0.38486647
-0.193261597	0.172188345	-0.342195734
-0.117537651	-0.678690438	-0.199909791
0.103266107	-0.37673453	-0.118431367
0.057949411	-0.597302856	-0.25999375
0.38250151	-0.156853386	-0.254865268
0.456514653	-0.871811712	0.32572819
0.423226944	-0.526481026	0.147674883
0.35100225	-0.610451356	0.225705489
0.106142717	-0.738211755	0.159754744
0.286845436	-0.769513514	0.244882632
0.306057452	-0.715522057	0.33126723
0.506873046	-0.842767602	0.373960154
0.28468077	-0.121528459	0.157356686
0.437442536	-0.868550337	0.072797784
0.475387996	-0.657696015	0.342205846
0.326148312	-0.712296819	0.236429235
0.210565477	-0.661686678	0.28950809
0.061489153	-0.474124902	0.078248546
0.455070624	-0.139914018	0.283600158
0.222916767	0.078068456	-0.164410519
0.319435143	-0.772548158	-0.16337925
0.246282697	-0.560464338	-0.120290971
0.067658348	-0.818434922	-0.241069856
0.268810081	-0.169377621	-0.185573208
0.171733847	-0.623569268	-0.186659198
0.169514578	-0.146936159	-0.161324106
0.300000683	-0.355016232	-0.31938102
-0.143259249	-0.576085904	-0.404281711
0.06225772	-0.503444006	-0.106536053
-0.203331926	-0.560890958	-0.261285501
-0.097482663	-0.605383901	-0.322353775
0.330868256	-0.53532897	-0.232516238
-0.035383698	-0.485661998	-0.287972031
0.050342144	-0.618807454	-0.434191679
0.122689446	-0.527686874	-0.208976134
-0.043023024	-0.342750468	-0.208976134
